% structure for data mining single hand sign language gestures
@relation SingleHandGestures
@attribute 'NoHands' numeric
@attribute 'thumb_angle' numeric
@attribute 'index_angle' numeric
@attribute 'middle_angle' numeric
@attribute 'ring_angle' numeric
@attribute 'pinky_angle' numeric
@attribute 'Dist_thumb_index' numeric
@attribute 'Dist_thumb_middle' numeric
@attribute 'Dist_thumb_ring' numeric
@attribute 'Dist_thumb_pinky' numeric
@attribute 'Dist_index_middle' numeric
@attribute 'Dist_index_ring' numeric
@attribute 'Dist_index_pinky' numeric
@attribute 'Dist_middle_ring' numeric
@attribute 'Dist_middle_pinky' numeric
@attribute 'Dist_ring_pinky' numeric
@attribute 'class' {c,g,bad,ok}
@data
1, 0.005688608, 0.03059351, 0.8100166, 0.7976764, 0.7707336,115.053,86.38824,102.5771,117.9822,110.8502,119.946,123.3487,16.90293,32.26794,16.40183,c
1, 0.00566268, 0.02978694, 0.8104604, 0.8001162, 0.7729307,116.6947,87.67914,103.6368,118.1196,111.3386,119.831,122.5353,16.57046,31.18822,15.59187,c
1, 0.005613208, 0.02894032, 0.8109322, 0.8018774, 0.7738936,118.0054,88.83326,104.5717,118.4938,111.8226,119.7288,121.9701,16.23286,30.42633,15.10481,c
1, 0.005455256, 0.02838427, 0.8113627, 0.80288, 0.7736425,118.9259,89.75425,105.3058,119.1177,112.1932,119.5988,121.7119,15.93233,30.08395,14.97919,c
1, 0.005474925, 0.02840734, 0.8112535, 0.803339, 0.7731338,119.6915,90.58441,105.9947,120.0268,112.3296,119.3835,121.626,15.72342,30.10759,15.12337,c
1, 0.005437434, 0.02912885, 0.8108206, 0.8034821, 0.7725731,120.2234,91.51169,106.5428,120.8915,112.3102,119.0826,121.5435,15.31763,29.9981,15.3524,c
1, 0.005491376, 0.03024054, 0.8098329, 0.8030388, 0.7716918,120.7318,92.73357,106.9977,121.7231,112.1814,118.7072,121.4302,14.58009,29.58401,15.64101,c
1, 0.005974352, 0.03052354, 0.8088881, 0.8022006, 0.7705119,121.4623,93.76984,107.4713,122.5362,112.1243,118.4716,121.4027,14.04577,29.33908,15.91009,c
1, 0.006192088, 0.03062302, 0.8080472, 0.8014605, 0.7695953,122.0245,94.3392,107.9207,122.9599,112.056,118.347,121.2697,13.92363,29.18175,15.86797,c
1, 0.006361723, 0.03067768, 0.8076315, 0.8011624, 0.7696447,122.4547,94.70741,108.3048,123.3584,111.9715,118.2732,121.2119,13.9378,29.19949,15.86856,c
1, 0.006431997, 0.03055996, 0.8074745, 0.8011878, 0.7703704,122.7985,94.7578,108.4705,123.5545,111.8313,118.176,121.1389,14.05595,29.33809,15.88579,c
1, 0.006492615, 0.03017133, 0.8075572, 0.8014457, 0.7718277,123.2854,94.75736,108.6228,123.806,111.6586,118.0764,121.1038,14.22799,29.59365,15.96642,c
1, 0.006539762, 0.02965456, 0.807748, 0.8016092, 0.7731925,123.8871,94.53706,108.6276,123.8532,111.4291,117.9432,121.0098,14.48327,29.87955,15.99424,c
1, 0.006158233, 0.02976221, 0.8081583, 0.8022054, 0.7748049,124.3267,94.13438,108.4676,123.6561,110.9828,117.5975,120.709,14.76903,30.13068,15.94987,c
1, 0.005338609, 0.03064412, 0.8079526, 0.8040189, 0.7773619,124.5669,93.64462,108.2659,123.3283,110.2611,117.0366,120.2464,15.16452,30.4138,15.82046,c
1, 0.004525304, 0.03250849, 0.808131, 0.8055946, 0.7800923,125.0341,93.4054,108.2393,123.2308,109.4033,116.4393,119.8129,15.53608,30.72308,15.75456,c
1, 0.004124522, 0.03401142, 0.8083286, 0.8068388, 0.7817981,125.3886,93.28356,108.2723,123.1837,108.5868,115.8991,119.4405,15.85119,30.96201,15.67858,c
1, 0.00402081, 0.03658485, 0.8086579, 0.8076616, 0.7827769,125.6062,93.18432,108.3195,123.1619,107.6103,115.2921,119.0445,16.17888,31.21654,15.61433,c
1, 0.004165947, 0.04226816, 0.8089081, 0.808088, 0.7840034,125.7511,93.24114,108.5163,123.3439,106.1768,114.386,118.4488,16.56023,31.57842,15.61558,c
1, 5.543232E-05, 0.05272251, 0.8084482, 0.8074806, 0.7842777,123.9395,92.00291,107.5162,122.3504,104.1089,112.9737,117.416,16.95197,31.95962,15.636,c
1, 2.449751E-05, 0.06886542, 0.8076576, 0.8060719, 0.7833166,123.557,91.98489,107.6545,122.4429,101.2149,110.9906,115.9078,17.50585,32.4902,15.66502,c
1, 7.510185E-06, 0.08838034, 0.8061543, 0.8031213, 0.7811193,123.0978,91.98698,107.7751,122.5374,98.08786,108.8771,114.2834,18.14018,33.15427,15.76669,c
1, 1.251698E-06, 0.1075987, 0.8027927, 0.7993827, 0.7785483,122.7182,91.96927,107.8276,122.5813,95.293,107.1146,112.9322,18.87558,33.94495,15.90761,c
1, 0, 0.1243335, 0.7996196, 0.7956821, 0.7763054,122.4352,91.95934,107.8325,122.5911,92.94727,105.7428,111.8858,19.59283,34.71948,16.05988,c
1, 1.311302E-06, 0.1387834, 0.7959965, 0.7923843, 0.7746863,122.1601,91.90339,107.7674,122.5465,90.94888,104.6674,111.0742,20.33468,35.52006,16.21392,c
1, 9.536743E-06, 0.1486385, 0.7935816, 0.789565, 0.7736654,121.7422,91.54857,107.4007,122.2237,89.35541,103.9979,110.5825,21.08292,36.28409,16.34706,c
1, 2.741814E-05, 0.1415591, 0.7937264, 0.7875674, 0.7727745,121.826,90.96668,106.8161,121.6763,89.26092,104.4704,110.9875,21.57547,36.70742,16.39342,c
1, 6.353855E-05, 0.126272, 0.7978022, 0.7873151, 0.7739306,122.0119,90.19733,106.1011,121.05,90.40409,105.6858,111.9341,21.64489,36.67982,16.39245,c
1, 7.426739E-05, 0.1096097, 0.8006908, 0.7883863, 0.7756604,122.403,89.46981,105.4816,120.5329,92.4586,107.3063,113.1293,21.43591,36.38201,16.34189,c
1, 2.938509E-05, 0.08870482, 0.8036284, 0.7902855, 0.7757853,123.1477,88.89445,104.9292,120.0169,95.38709,109.1875,114.4473,20.73505,35.60975,16.23051,c
1, 3.457069E-06, 0.07045841, 0.8065678, 0.7912047, 0.7739782,123.4393,88.27663,104.3415,119.3676,98.28402,111.1103,115.725,20.01011,34.70775,16.0437,c
1, 0.002915263, 0.05381727, 0.8053547, 0.7931641, 0.7702614,124.9562,88.92738,105.202,119.5826,102.5403,113.3923,116.8732,18.8309,33.03169,15.35464,c
1, 0.004865527, 0.04105556, 0.8092841, 0.7984331, 0.7696575,125.4405,89.68707,105.7598,119.5545,106.8303,115.5636,118.1638,17.30318,31.11938,14.72814,c
1, 0.007750809, 0.03208029, 0.8110387, 0.8022127, 0.7702783,125.6911,90.43439,106.2668,119.6232,109.7421,117.3644,119.3848,16.56006,30.08322,14.3369,c
1, 0.008126616, 0.03025401, 0.8097005, 0.8054761, 0.7740885,123.2011,89.41017,105.2181,119.0408,111.2859,118.4698,120.6511,16.30214,30.3199,14.7378,c
1, 0.009212136, 0.02899998, 0.8078777, 0.8065965, 0.776592,120.0514,88.0974,103.9411,118.7405,112.4659,119.6475,122.3472,16.25126,31.22182,15.66742,c
1, 0.007359385, 0.02564955, 0.8078177, 0.8052894, 0.7744232,114.9795,86.16007,102.011,115.3307,113.799,121.1126,122.743,16.09943,29.87305,14.67125,c
1, 0.006218672, 0.0210098, 0.8055624, 0.8030862, 0.772383,110.1997,84.37385,100.1905,111.4469,114.9344,122.2692,122.4264,15.96517,28.15197,13.40101,c
1, 0.005218923, 0.01602501, 0.8036209, 0.802321, 0.7730402,105.7788,82.89523,98.62567,107.456,115.8471,123.1863,121.0956,15.83224,26.27692,12.42432,c
1, 0.005194366, 0.01194298, 0.8014393, 0.8007836, 0.7728796,102.7929,81.93291,97.52776,105.6839,116.6592,123.9524,121.0707,15.70306,25.9574,12.5874,c
1, 0.005446315, 0.008699596, 0.8002093, 0.7995854, 0.7727748,100.52,81.17465,96.34817,104.2595,117.2852,124.1704,121.1326,15.33838,25.76192,12.69021,c
1, 0.005927384, 0.006556094, 0.7993, 0.7984791, 0.7727547,91.85961,76.02756,90.45391,97.53058,117.7029,124.2634,121.2312,15.06882,25.66378,12.75478,c
1, 0.006719291, 0.005163848, 0.7989503, 0.7974906, 0.7726243,90.44752,75.31091,89.37802,96.31446,118.0083,124.3899,121.3598,14.9062,25.59989,12.80263,c
1, 0.007740557, 0.004437506, 0.7985883, 0.796288, 0.7722126,89.36496,74.64433,88.50401,95.3169,118.1435,124.4847,121.4491,14.83519,25.56764,12.83897,c
1, 0.008922577, 0.002997339, 0.7979463, 0.7941965, 0.7699164,88.91151,74.28069,87.94117,94.57635,118.5261,124.7613,121.6295,14.7443,25.45152,12.82256,c
1, 0.01070631, 0.002987087, 0.7978976, 0.7931038, 0.768233,88.01991,73.87219,87.31149,93.755,118.6298,124.7599,121.5754,14.65896,25.33576,12.78496,c
1, 0.01191461, 0.003117204, 0.7980818, 0.7922421, 0.7665869,87.34377,73.53357,86.86411,93.14227,118.6044,124.7018,121.4655,14.62531,25.24401,12.73944,c
1, 0.01301122, 0.00330627, 0.798499, 0.7915799, 0.7649424,86.9225,73.32764,86.59896,92.747,118.53,124.6141,121.3303,14.60494,25.15552,12.68772,c
1, 0.01375598, 0.003540516, 0.7991713, 0.7912408, 0.7635479,86.75302,73.24724,86.51505,92.57682,118.4184,124.5172,121.1968,14.6015,25.07976,12.6358,c
1, 0.01432681, 0.005953729, 0.7997191, 0.7909218, 0.7622984,86.43335,73.25773,86.57037,92.58329,118.0386,124.1832,120.8458,14.61271,25.02168,12.59145,c
1, 0.01432145, 0.00653708, 0.8000492, 0.7906924, 0.7610955,86.53004,73.35355,86.73128,92.7175,117.8745,124.0493,120.6843,14.62978,24.97587,12.54883,c
1, 0.01441306, 0.007128179, 0.8003433, 0.7907381, 0.7603049,86.66553,73.44788,86.90055,92.87808,117.7237,123.931,120.5512,14.65485,24.95024,12.51309,c
1, 0.01425272, 0.007727683, 0.8006765, 0.7908748, 0.7596836,86.95913,73.62537,87.16267,93.15854,117.6025,123.8454,120.4578,14.67986,24.93116,12.48238,c
1, 0.01396215, 0.008349061, 0.8010272, 0.7911708, 0.7593451,87.27425,73.82279,87.43735,93.46366,117.4931,123.7646,120.3768,14.7026,24.92083,12.4574,c
1, 0.01362813, 0.008872449, 0.8012902, 0.7913929, 0.7590812,87.65605,74.06347,87.74801,93.81655,117.4317,123.7215,120.3335,14.71945,24.91524,12.43988,c
1, 0.01324278, 0.009385228, 0.8014516, 0.7917294, 0.7589279,87.98676,74.25967,88.01017,94.11568,117.3565,123.6611,120.2751,14.74006,24.91623,12.42249,c
1, 0.01295322, 0.009847462, 0.8014369, 0.7919358, 0.7588108,88.33255,74.45664,88.2813,94.42924,117.2753,123.5991,120.2128,14.76505,24.92537,12.41145,c
1, 0.01267314, 0.01022321, 0.8014488, 0.7921723, 0.7587795,88.71161,74.63512,88.53058,94.72168,117.2251,123.5694,120.1834,14.79083,24.93723,12.40249,c
