% structure for data mining single hand sign language gestures
@relation SingleHandGestures
@attribute 'NoHands' numeric
@attribute 'thumb_angle' numeric
@attribute 'index_angle' numeric
@attribute 'middle_angle' numeric
@attribute 'ring_angle' numeric
@attribute 'pinky_angle' numeric
@attribute 'Dist_thumb_index' numeric
@attribute 'Dist_thumb_middle' numeric
@attribute 'Dist_thumb_ring' numeric
@attribute 'Dist_thumb_pinky' numeric
@attribute 'Dist_index_middle' numeric
@attribute 'Dist_index_ring' numeric
@attribute 'Dist_index_pinky' numeric
@attribute 'Dist_middle_ring' numeric
@attribute 'Dist_middle_pinky' numeric
@attribute 'Dist_ring_pinky' numeric
@attribute 'class' {c,g,bad,ok}
@data

1, 0.03672147, 0.01603878, 0.766651, 0.7740872, 0.7371626,118.5884,87.5629,101.5501,113.5181,111.4195,121.9726,122.1448,18.65325,29.95149,14.01517,?
1, 0.005965233, 0.02888656, 0.7705072, 0.7565447, 0.7394786,96.01576,83.20795,99.52491,111.1604,118.8495,127.9481,129.0531,16.6644,30.1954,15.03623,?
1, 0.0007232428, 0.05795622, 0.7775218, 0.7688211, 0.7469981,92.35867,82.06625,99.37987,109.7976,114.1414,124.021,123.6134,17.68991,30.04082,14.68425,?
1, 0.0007429719, 0.02936399, 0.7990813, 0.7773211, 0.7583417,98.1726,84.85804,101.6617,112.7169,115.9873,125.8343,125.6425,17.08455,29.63005,14.80801,?
1, 0.005813122, 0.05794775, 0.7884122, 0.7812556, 0.7619433,79.33138,77.74577,93.67831,103.1798,113.1942,123.3121,123.3379,16.40425,28.61743,14.7829,?
1, 2.217293E-05, 0.03378731, 0.8038982, 0.783246, 0.7641917,90.17764,82.72607,98.98951,109.4475,115.1501,124.9319,124.8453,16.48261,29.01052,14.80927,?
1, 4.291534E-06, 0.03642035, 0.8047913, 0.7857219, 0.7628884,87.71357,81.49198,97.86799,108.0898,114.7863,124.4486,124.4495,16.58405,29.11199,14.6851,?
1, 1.370907E-05, 0.0338822, 0.8068684, 0.7859715, 0.762168,88.24182,81.92204,97.54025,107.6719,115.7287,124.639,124.4774,15.82197,28.47368,14.65412,?
1, 2.324581E-06, 0.03369343, 0.8071827, 0.7855017, 0.762157,90.24224,81.65057,98.28526,108.5407,115.937,125.4031,125.1915,16.84306,29.39314,14.66792,?
1, 0.005812109, 0.03402197, 0.8097976, 0.7887585, 0.7653401,82.91519,78.41509,94.38934,103.9594,116.1404,125.1955,125.0878,16.39389,29.10248,14.66405,?
1, 0.006412148, 0.03662074, 0.8087573, 0.7903868, 0.7659429,80.91008,79.48679,93.73191,103.1491,116.0856,124.3484,124.2933,14.63639,27.38894,14.62325,?
1, 0.005645394, 0.03406549, 0.8103704, 0.7893338, 0.7663504,85.35127,77.67638,95.0304,104.7715,115.9263,125.5967,125.3964,17.74333,30.34859,14.6777,?
1, 0.05360508, 0.4716529, 0.68696, 0.7032988, 0.7180963,40.41641,55.31564,72.73614,85.20796,39.88854,57.3621,68.07224,20.2703,36.19451,17.6833,?
1, 0.1070607, 0, 0, 0.4996018, 0.6085839,86.68849,100.2441,23.30956,32.37149,15.94728,105.6264,110.5907,119.1455,122.8019,16.60607,?
1, 0.1467807, 0.00633359, 4.768372E-07, 0.58021, 0.4875112,78.37721,91.03391,38.40975,36.19984,13.28632,45.63579,105.2258,56.65829,116.7358,62.66537,?
