% structure for data mining single hand sign language gestures
@relation SingleHandGestures
@attribute 'NoHands' numeric
@attribute 'thumb_angle' numeric
@attribute 'index_angle' numeric
@attribute 'middle_angle' numeric
@attribute 'ring_angle' numeric
@attribute 'pinky_angle' numeric
@attribute 'Dist_thumb_index' numeric
@attribute 'Dist_thumb_middle' numeric
@attribute 'Dist_thumb_ring' numeric
@attribute 'Dist_thumb_pinky' numeric
@attribute 'Dist_index_middle' numeric
@attribute 'Dist_index_ring' numeric
@attribute 'Dist_index_pinky' numeric
@attribute 'Dist_middle_ring' numeric
@attribute 'Dist_middle_pinky' numeric
@attribute 'Dist_ring_pinky' numeric
@attribute 'class' {c,g,0,1,2,3,4,5,6,7,8,9}
@data
1, 0.001105547, 0.01400334, 0.0117954, 0.01060569, 0.008900821,104.4799,142.0952,161.8082,177.3772,46.47442,80.4894,117.4209,37.98093,81.47679,45.38717,5
1, 0.0009791851, 0.01236141, 0.01079625, 0.01035196, 0.009432614,104.5005,142.0598,161.7659,177.1605,46.45267,80.4357,117.1158,37.93396,81.17544,45.14648,5
1, 0.0008732677, 0.01324701, 0.01152873, 0.007902086, 0.008626819,104.838,142.0443,161.9825,177.3367,46.0273,80.28162,117.0115,38.15147,81.45435,45.28382,5
1, 0.001088917, 0.01142859, 0.01035082, 0.007474363, 0.008901954,105.029,142.2278,162.0842,177.2386,46.09495,80.26507,116.7579,38.06735,81.13767,45.05335,5
1, 0.0008057356, 0.01266253, 0.01139796, 0.00631988, 0.008395433,104.8268,141.8186,161.8533,177.0506,45.85322,80.22622,116.765,38.2359,81.35184,45.14782,5
1, 0.0005488992, 0.01389939, 0.01263142, 0.00572443, 0.008237958,104.3857,141.1806,161.3284,176.5608,45.62297,80.11014,116.6485,38.3083,81.40267,45.16007,5
1, 0.0003659129, 0.01530665, 0.01386511, 0.005555212, 0.008481383,103.8951,140.5429,160.7774,176.0473,45.44281,80.01023,116.5369,38.3592,81.41837,45.1458,5
1, 0.06921786, 0, 0, 0, 0.007435918,80.97603,113.8738,131.2432,143.0426,46.25977,81.19844,116.7014,39.32981,82.48384,45.91907,5
1, 7.373095E-05, 0.03047407, 0.02493739, 0.01398218, 0.01230681,100.7407,135.9252,157.2482,172.3339,44.38638,80.14305,115.5132,39.70164,82.26584,45.38581,5
1, 0.000180006, 0.0466482, 0.03528285, 0.02628291, 0.03576458,98.98969,134.2899,155.3806,169.3813,44.19147,79.20199,113.0623,39.00862,80.25066,44.1462,5
1, 0.0003615022, 0.04706448, 0.04178488, 0.02908659, 0.03990656,98.91592,133.946,155.163,169.1429,44.05036,79.05224,112.7814,39.07754,80.38384,44.30943,5
1, 0.0007077456, 0.05108327, 0.05552101, 0.03561306, 0.04792404,99.36051,134.3377,155.9315,169.7684,44.00888,79.32797,112.9283,39.38521,80.70331,44.49135,5
1, 0.000844717, 0.0473392, 0.05458474, 0.03558236, 0.04555357,99.22305,134.1435,155.8781,169.8738,44.23729,79.66249,113.2767,39.66708,81.20202,44.73485,5
1, 0.0009143353, 0.04630488, 0.05463076, 0.03512132, 0.04353249,99.36777,134.3506,156.1925,170.2384,44.50875,80.03792,113.6334,39.85509,81.52153,44.92223,5
1, 0.0009051561, 0.04502022, 0.05454111, 0.03477812, 0.04218799,99.46138,134.5431,156.4549,170.5953,44.87475,80.44947,114.0248,40.00695,81.82934,45.12289,5
1, 0.00103271, 0.04746747, 0.05744016, 0.03584099, 0.04269457,99.5606,134.7433,156.7682,171.0179,45.12901,80.80077,114.4144,40.13856,82.10328,45.31581,5
1, 0.001322031, 0.04995823, 0.05971318, 0.03738356, 0.04335761,99.24908,134.578,156.6877,171.0886,45.55533,81.23686,114.8155,40.26345,82.38082,45.50583,5
1, 0.001689434, 0.05323637, 0.06173122, 0.03776735, 0.04351825,98.85609,134.2286,156.4397,170.9509,45.76368,81.46226,114.9518,40.37412,82.56081,45.62866,5
